Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jayson Tatum,21,64,64,2195,532,1189,0.447,181,452,0.4,351,737,0.476,0.524,244,302,0.808,62,383,445,192,91,56,146,133,1489
2,Jaylen Brown,23,55,55,1867,417,855,0.488,125,321,0.389,292,534,0.547,0.561,174,238,0.731,61,287,348,115,62,18,123,162,1133
3,Marcus Smart,25,58,40,1859,250,665,0.376,133,386,0.345,117,279,0.419,0.476,124,149,0.832,42,179,221,273,97,29,101,159,757
4,Kemba Walker,29,54,54,1682,370,870,0.425,178,463,0.384,192,407,0.472,0.528,204,236,0.864,34,176,210,259,47,28,113,85,1122
5,Gordon Hayward,29,50,50,1669,331,666,0.497,79,208,0.38,252,458,0.55,0.556,118,137,0.861,52,282,334,202,37,21,94,93,859
6,Daniel Theis,27,63,62,1518,237,419,0.566,32,95,0.337,205,324,0.633,0.604,87,114,0.763,138,278,416,108,36,80,54,215,593
7,Brad Wanamaker,30,68,1,1317,154,349,0.441,36,98,0.367,118,251,0.47,0.493,119,128,0.93,22,118,140,169,59,14,75,126,463
8,Grant Williams,21,67,5,999,84,201,0.418,22,89,0.247,62,112,0.554,0.473,37,52,0.712,58,109,167,65,30,34,47,155,227
9,Semi Ojeleye,25,66,5,964,74,179,0.413,44,116,0.379,30,63,0.476,0.536,25,29,0.862,24,112,136,35,19,5,16,78,217
10,Enes Kanter,27,55,6,941,189,329,0.574,1,7,0.143,188,322,0.584,0.576,67,96,0.698,152,258,410,52,22,39,53,92,446
11,Javonte Green,26,46,1,431,55,108,0.509,6,24,0.25,49,84,0.583,0.537,24,38,0.632,21,67,88,26,24,8,19,39,140
12,Robert Williams,22,26,1,353,53,74,0.716,0,0,,53,74,0.716,0.716,20,31,0.645,35,82,117,24,21,31,20,47,126
13,Romeo Langford,20,30,1,337,25,71,0.352,5,26,0.192,20,45,0.444,0.387,18,25,0.72,15,22,37,9,8,8,10,31,73
14,Carsen Edwards,21,36,0,327,39,117,0.333,23,71,0.324,16,46,0.348,0.432,12,16,0.75,6,37,43,24,11,4,15,34,113
15,Vincent Poirier,26,21,0,114,16,33,0.485,1,2,0.5,15,31,0.484,0.5,6,7,0.857,10,24,34,7,2,6,6,23,39
16,Tremont Waters,22,10,0,89,12,35,0.343,3,17,0.176,9,18,0.5,0.386,6,6,1,0,9,9,12,5,2,10,11,33
17,Tacko Fall,24,6,0,24,9,12,0.75,0,0,,9,12,0.75,0.75,1,3,0.333,0,11,11,0,0,2,3,5,19
